species,family,genus,specific,english,status,authority,ID,RedList,WriteUp,Phytogeography
Taraxacum aurosulum,COMPOSITAE,Taraxacum,aurosulum,Tailed Dandelion,native,H.Lindb.,Vas_3811,,"
Occasional (7). This is probably introduced and occurs on shady roadsides and in other ruderal habitats. It is found throughout the British Isles. T. aurosulum was found in scattered localities in northern Lancashire.

Taraxacum lunare M.P. Christ.

Rare (3). There are a few British records of this introduced species. In northern Lancashire it was found at Cabus (44Y), in the Gressingham and Hornby areas (SD56U) and at Tatham (SD66J).

Taraxacum coartatum G.E. Haglund

Very rare (1). This is an introduced species found in a few localities in Britain. In northern Lancashire T. coartatum was found at Bashall Eaves (SD64W).

Taraxacum aberrans Hagend

This is a rare introduction found in ruderal habitats in a few British localities. However there is a related plant, which is close to the Danish species T. severum M.P. Christ., and is found in grassy places in a number of British localities. It is probably endemic and is known by the work name T. ‘non-severum’. It was found near Crag Bank, Carnforth (SD46Z).

Taraxacum pseudoretroflexum M.P. Christ.

Very rare (1). This is an introduction found in a few English localities. T. pseudoretroflexum was found near Carnforth (SD47V).

Taraxacum oblongatum Dahlst.
",Eurosiberian–Temperate
Taraxacum undulatum,COMPOSITAE,Taraxacum ,undulatum,Wavy-leaved Dandelion,native,H.Lindb. & Markl.,Vas_4031,,"
Rare (3). T. undulatum is found in grassy and ruderal habitats in scattered localities in Britain and from Dublin in Ireland. In northern Lancashire it was found at Silverdale (SD47T), Quernmore (SD56F) and probably this species from near Wray (SD67M).

Taraxacum dilaceratum M.P. Christ.

Very rare (1). T. dilaceratum is probably introduced and occurs in grassy and ruderal habitats in scattered British localities. In northern Lancashire it was found near Quernmore (SD55D).

Taraxacum alatum H. Lindb.

Occasional (16). This is found in grassy and ruderal habitats throughout Britain and in the north of Ireland and in some areas it is very common. It probably occurs throughout northern Lancashire although so far it has only been recorded in western areas and in the Ribble valley.

Taraxacum horridifrons Rail.

Very rare (1). T. horridifrons is an introduction found on roadsides in a few areas of England and Wales. In northern Lancashire it was found at Gressingham (SD56P).

Taraxacum insigne Ekman ex M.P. Christ. & Wiinst.

Occasional (8). This is found in dry grassy places and ruderal habitats throughout Britain, where it is often common, and occasionally in Ireland. T. insigne has been recorded from a few localities in northern Lancashire but probably occurs throughout the area.

Taraxacum pannulatiforme Dahlst.
",Eurosiberian–Temperate
Tragopogon pratensis subsp. minor,COMPOSITAE,Tragopogon,pratensis subsp. minor,Goatsbeard,native,(Mill.) Wahlenb.,Vas_2074.1,,Text,Eurosiberian–Temperate
Tripleurospermum inodorum,COMPOSITAE,Tripleurospermum,inodorum,Scentless Mayweed,archaeophyte,(L.) Sch.Bip.,Vas_1241.1,,"
Archeophyte with a Eurosiberian Temperate distribution.
There is a continuous archaeological record in Britain for Scentless Mayweed from the Bronze Age onwards. It is an annual of cultivated and waste ground occurring throughout most parts of the British Isles. However it was not distinguished from T. maritimum until 1969 and the two species have not always been separately identified.
Common (285). In northern Lancashire T. inodorum is a common species in the west of the area but it is much more localised further east.

",Eurasian–Temperate
Tripleurospermum maritimum,COMPOSITAE,Tripleurospermum,maritimum,Sea Mayweed,native,(L.) W.D.J.Koch,Vas_1241.3,,"
Circumpolar Wide-boreal element.
This is a perennial or biennial herb occurring in a wide variety of coastal habitats (BH18, 19) and is found around all the coasts of the British Isles.
Occasional (45). Sea Mayweed was not distinguished from Scentless Mayweed until 1969 and is therefore under-recorded. Similarly the subspecies have not been recorded.  It occurs along the entire coast of VC 60.

[Tripleurospermum maritimum x T. inodorum
This is a common hybrid but so far it has not been identified in northern Lancashire.]

",Atlantic–Coastal
Tripolium pannonicum,COMPOSITAE,Tripolium,pannonicum,Sea Aster,native,(Jacq.) Dobrocz.,Vas_204,,Text,Eurasian–Coastal
Tussilago farfara,COMPOSITAE,Tussilago,farfara,Coltsfoot,native,L.,Vas_2109,,"
Eurosiberian Boreo-temperate element.
Colt’s-foot is a rhizomatous, perennial herb found as a pioneer colonizer of moist or dry disturbed habitats (BH16) throughout the British Isles.
Very common (416). In northern Lancashire T. farfara is found throughout the area, except on the tops of the fells. There has been no change in its distribution locally and whilst the ‘New Atlas’ reported no change nationally since 1987 ‘Local Change’ noted a significant decline. Reasons for the decline are not apparent.

",Circumboreal–Temperate
Alisma plantago-aquatica,ALISMATACEAE,Alisma,plantago-aquatica,Water Plantain,native,L.,Vas_63,,"
Circumpolar Wide-temperate element.
This is a perennial herb found in waterside communities in mesotrophic or eutrophic habitats (BH11, 13). Water-plantain is found in lowland areas throughout the British Isles except northern Scotland.
Frequent (210). A. plantago-aquatica is found in lowland areas and in river valleys in much of northern Lancashire. Its distribution locally and nationally is unchanged.

",Circumboreal–Temperate
Baldellia ranunculoides,ALISMATACEAE,Baldellia,ranunculoides,Lesser Water Plantain,native,(L.) Parl.,Vas_224,Near Threatened,"
Suboceanic Southern-temperate element.
This perennial herb is found in marshes, ditches and pond edges in open habitats. It usually grows in calcareous or brackish waters but on a range of organic and inorganic substrates (BH13, 14).
Rare (10). In northern Lancashire it has been found in a few scattered localities in lowland, western parts of the area. However it was considered frequent in lowland areas in VC 60 by Wheldon and Wilson (1907). Today it has become extinct in at least some of the localities where it was recorded in the 1960s and 1970s. It is now probably very rare perhaps being confined to a few localities between Silverdale and Carnforth. The ‘New Atlas’ reports a considerable decline nationally.

",Atlantic–Temperate
Butomus umbellatus,BUTOMACEAE,Butomus,umbellatus,Flowering Rush,native,L.,Vas_288,,"
Eurosiberian Temperate element.
Flowering-rush is an attractive, emergent marsh or aquatic species found in calcareous and often eutrophic water (BH 13, 14). It rarely sets seed in Britain but occurs in many parts of England, Wales and southern Scotland. It is regarded as native in most parts of England but in much of northern England, Ireland and southern Scotland it is thought to be introduced. However it is impossible to distinguish between native and introduced populations.
Occasional (38). The status of B. umbellatus in northern Lancashire is uncertain. It was first recorded from Lytham in 1839 (S.S.; OXF) suggesting that it could be a relic fen species. It was then recorded from the Lancaster Canal from near Preston (Ashfield, 1858) and quickly became established along most of the Canal. Since 1964 most records are from the canal and more occasionally in marshes and ponds in lowland areas in the west of the area. Apart from the record from Lytham, where the origin is uncertain, it is thought that all subsequent populations originated from introductions. Its distribution in northern Lancashire has probably remained unchanged over the last 100 years but nationally ‘Local Change’ reported an increase probably as a result of introductions.

",Eurasian–Temperate
Elodea canadensis,HYDROCHARITACEAE,Elodea,canadensis,Canadian Waterweed,neophyte,Michx.,Vas_681,,"
Neophyte. This is a native of temperate, North America. It is an aquatic perennial first recorded in Ireland in 1836 and in Britain in 1842. Subsequently Canadian Waterweed spread rapidly and became established in lowland areas of the British Isles except northern Scotland.
Frequent (100). In northern Lancashire E. canadensis was first recorded from the Lancaster Canal north of Preston and was especially abundant near Nateby Hall (Ashfield, 1864). Since 1964 it has been found mostly in western areas but also in the Lune and Ribble valleys. In recent years it appears to have been replaced by E. nuttallii, especially in the Lancaster Canal.

",Alien (North American)
Elodea nuttallii,HYDROCHARITACEAE,Elodea,nuttallii,Nuttall's Waterweed,neophyte,(Planch.) H.St.John,Vas_997,,"
Neophyte. This is a native of temperate, North America, which has been naturalised in Europe since 1939 and was first recorded as naturalised in Britain in 1966. It is an aquatic species found in eutrophic ponds and slow moving waters and it appears to withstand boat disturbance better than E. canadensis. Today it occurs in England, Wales, southern Scotland and eastern Ireland.
Occasional (64). In northern Lancashire E. nuttallii was first found in Pedders Potts Reservoir, Over Kellet (SD57F) in 1976 (J. Leeming) and two years later it was found in several places in the R. Lune and nearby ponds. By 1980 it was found in the Lancaster Canal in the Lancaster area. Today it occurs throughout the western part of the area although most records are still from the northern parts of the Lancaster Canal and nearby areas.

",Alien (North American)
Hydrocharis morsus-ranae,HYDROCHARITACEAE,Hydrocharis,morsus-ranae,Frogbit,native,L.,Vas_998,Vulnerable,"
Eurosiberian Temperate element.
This floating perennial species is found in shallow, calcareous, mesotrophic water in ponds, ditches and other sheltered, still waters (BH13). It occurs in England, Wales and Ireland but also as an introduction in many places and in Scotland
Very rare (4). Frogbit has always been a rare species in northern Lancashire. Pre 1964 records were from Cockerham (Ashfield, 1858), between Inskip and Kirkham in 1943 (H.E.B.) and Garstang (NMW). It is believed plants from Ribbleton Moor were transferred successively into nearby ponds over the years as old sites were filled in. Since 1964 it has been found in ponds in Grange Park, Preston (SD53Q, V). It was also found at Wesham (SD43B) in 1974 (C.F. & N.J.S.) but the lowering of the water table in the area dried out the ditch and it was gone by 2002 (E.F.G.). It was introduced into its remaining site at Bank Well, Silverdale (SD47S) where it was first found in 1998 (P.J.). Nationally the ‘New Atlas’ reported it had declined but that it had also been planted in the wild in recent years.

",Eurosiberian–Temperate
Stratiotes aloides,HYDROCHARITACEAE,Stratiotes,aloides,Water Soldier,alien,L.,Vas_2017,,"
Eurosiberian Boreo-temperate element but a neophyte in northern Lancashire.
This floating perennial species is found in calcareous, mesotrophic lakes and ponds (BH13) and is found in England, Wales, Ireland and central Scotland. It is regarded as an introduction apart from localities in East Anglia.
Occasional (19). Water-soldier was first recorded from near Cadley Mill, Preston (SD53F, Ashfield, 1858). Subsequently it was found in ponds in scattered lowland localities in VC 60. However most records were from the Lancaster Canal where it was first found near Bell’s Bridge (SD44T) in the 1950s (Greenwood, 1974). For a time it became abundant but quite suddenly it disappeared (Greenwood, 2005). It is believed that the chemical composition of the water where it grows is critical and that nutrient enrichment probably caused its loss from the canal.

",Eurosiberian–Temperate
